"Age","Weight","Height","Abdomen","Hip","Neck","Thigh","Ankle","Biceps","Forearm","bodyfat"
23,154.25,67.75,85.2,94.5,36.2,59,21.9,32,27.4,12.3
22,173.25,72.25,83,98.7,38.5,58.7,23.4,30.5,28.9,6.1
22,154,66.25,87.9,99.2,34,59.6,24,28.8,25.2,25.3
26,184.75,72.25,86.4,101.2,37.4,60.1,22.8,32.4,29.4,10.4
24,184.25,71.25,100,101.9,34.4,63.2,24,32.2,27.7,28.7
24,210.25,74.75,94.4,107.8,39,66,25.6,35.7,30.6,20.9
26,181,69.75,90.7,100.3,36.4,58.4,22.9,31.9,27.8,19.2
25,176,72.5,88.5,97.1,37.8,60,23.2,30.5,29,12.4
25,191,74,82.5,99.9,38.1,62.9,23.8,35.9,31.1,4.1
23,198.25,73.5,88.6,104.1,42.1,63.1,25,35.6,30,11.7
26,186.25,74.5,83.6,98.2,38.5,59.7,25.2,32.8,29.4,7.1
27,216,76,90.9,107.7,39.4,66.2,25.9,37.2,30.2,7.8
32,180.5,69.5,91.6,103.9,38.4,63.4,21.5,32.5,28.6,20.8
30,205.25,71.25,101.8,108.6,39.4,66,23.7,36.9,31.6,21.2
35,187.75,69.5,96.4,100.1,40.5,69,23.1,36.1,30.5,22.1
35,162.75,66,92.8,99.2,36.4,63.1,21.7,31.1,26.4,20.9
34,195.75,71,96.4,105.2,38.9,64.8,23.1,36.2,30.8,29
32,209.25,71,97.5,107,42.1,66.9,24.4,38.2,31.6,22.9
28,183.75,67.75,89.6,102.4,38,64.2,22.9,37.2,30.5,16
33,211.75,73.5,100.5,109,40,65.8,24,37.1,30.1,16.5
28,179,68,95.9,104.9,39.1,63.5,22.1,32.5,30.3,19.1
28,200.5,69.75,98.8,104.8,41.3,63.4,24.6,33,32.8,15.2
31,140.25,68.25,76.4,94.6,33.9,57.4,22.2,27.9,25.9,15.6
32,148.75,70,80,93.4,35.5,54.9,22.1,29.8,26.7,17.7
28,151.25,67.75,76.3,95.8,34.5,58.4,22.9,31.1,28,14
27,159.25,71.5,79.7,96.5,35.7,55,22.5,29.9,28.2,3.7
34,131.5,67.5,74.6,85.3,36.2,51.7,21.4,28.7,27,7.9
31,148,67.5,88.7,94.7,38.8,57.5,21,29.2,26.6,22.9
27,133.25,64.75,73.9,88.5,36.4,50.1,21.3,30.5,27.9,3.7
29,160.75,69,83.5,98.7,36.7,58.9,22.6,30.1,26.7,8.8
32,182,73.75,88.7,99.8,38.7,57.5,33.9,32.5,27.7,11.9
29,160.25,71.25,84.5,100.6,37.3,58.5,21.5,30.1,26.4,5.7
27,168,71.25,79.1,94.5,38.1,57.3,24.5,29,30,11.8
41,218.5,71,100.5,108.3,39.8,67.1,25.2,37.5,31.5,21.3
41,247.25,73.5,115.6,116.1,42.1,71.2,26.3,37.3,31.7,32.3
49,191.75,65,113.1,113.8,38.4,61.9,21.9,32,29.8,40.1
40,202.25,70,100.9,106.2,38.5,63.5,22.6,35.1,30.6,24.2
50,196.75,68.25,98.8,104.8,42.1,66,24.7,33.2,30.5,28.4
46,363.15,72.25,148.1,147.7,51.2,87.3,29.6,45,29,35.2
50,203,67,108.1,102.5,40.2,61.3,24.7,34.1,31,32.6
45,262.75,68.75,126.2,125.6,43.2,72.5,26.6,36.4,32.7,34.5
44,205,29.5,104.3,115.5,36.6,70.6,23.7,33.6,28.7,32.9
48,217,70,111.2,114.1,37.3,67.7,25,36.7,29.8,31.6
41,212,71.5,104.3,106,41.5,65,23,35.8,31.5,32
39,125.25,68,76,88.2,31.5,50,21,26.1,23.1,7.7
43,164.25,73.25,81.5,97.2,35.7,58.4,23.4,29.7,27.4,13.9
40,133.5,67.5,73.7,88.5,33.6,53.3,22.5,27.9,26.2,10.8
39,148.5,71.25,79.5,92.7,34.6,52.7,21.9,28.8,26.8,5.6
45,135.75,68.5,83.4,90.4,32.8,52,20.6,28.8,25.5,13.6
47,127.5,66.75,70.4,87.2,34,50.6,21.9,26.8,25.8,4
47,158.25,72.25,86.7,98.3,34.9,52.6,22.4,26,25.8,10.2
40,139.25,69,77.9,91,34.3,51.4,21,26.7,26.1,6.6
51,137.25,67.75,82,89.1,36.5,49.3,21.4,29.6,26,8
49,152.75,73.5,79.6,91.6,35.1,52.6,22.6,38.5,27.4,6.3
42,136.25,67.5,77.6,88.6,37.8,51.9,22.5,27.7,27.5,3.9
54,198,72,100,99.6,39.9,57.2,22,35.9,30.2,22.6
58,181.5,68,99.8,102.5,39.1,62.1,22.5,33.1,28.3,20.4
62,201.25,69.5,104.2,105.8,40.5,61.8,22.7,37.7,30.9,28
54,202.5,70.75,105.3,97,40.5,59.1,22.5,31.6,28.8,31.5
61,179.75,65.75,98.3,99.6,38.4,60.6,22.9,34.5,29.6,24.6
62,216,73.25,104.8,103.1,41.4,61.6,23.1,36.2,31.8,26.1
56,178.75,68.5,94.7,100.8,35.6,60.9,22.1,32.5,29.8,29.8
54,193.25,70.25,102.4,99.4,38,61,23.6,32.7,29.9,30.7
61,178,67,99.7,99.7,37.4,60.8,22.7,33.6,29,25.8
57,205.5,70,105.5,108.3,40.1,65,24.7,35.3,31.1,32.3
55,183.5,67.5,100.3,104.2,40.9,64.8,22.7,34.8,30.1,30
54,151.5,70.75,83.9,93.9,35.6,55,21.7,29.6,27.4,21.5
55,154.75,71.5,86.6,91.8,36.9,54.3,21.5,32.8,27.4,13.8
54,155.25,69.25,78.4,96.1,37.5,56,22.4,32.6,28.1,6.3
55,156.75,71.5,84.6,94.3,36.3,51.2,21.6,27.3,27.1,12.9
62,167.5,71.5,91.5,98.5,35.5,56.6,22.4,31.5,27.3,24.3
55,146.75,68.75,82.8,95.5,38.7,58.9,21.6,30.3,27.3,8.8
56,160.75,73.75,82.9,96.3,36.4,52.9,23.1,29.7,27.3,8.5
55,125,64,76,88.6,33.2,50.9,19.1,29.3,25.7,13.5
61,143,65.75,83.3,93,36.5,55.5,20.9,29.4,27,11.8
61,148.25,67.5,81.8,94.8,36,54.5,21.4,29.3,27,18.5
57,162.5,69.5,78.8,94.3,38.7,56.7,24.2,30.2,29.2,8.8
69,177.75,68.5,95,98.3,38.7,55,21.8,30.8,25.7,22.2
81,161.25,70.25,95.4,99.3,37.8,53.5,21.5,31.4,26.8,21.5
66,171.25,69.25,98.6,100.2,37.4,56.5,22.7,30.3,28.7,18.8
67,163.75,67.75,95.8,97.1,38.4,54.8,23.7,29.4,27.2,31.4
64,150.25,67.25,89,96.9,38.1,54.8,22,29.9,25.2,26.8
