Label;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Z;AA;AB;AC;AD;AE;AF;AG;AH
A;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1
B;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1
C;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1
D;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0
E;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0
F;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0
G;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1
H;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1
I;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1
J;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;0
K;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0
L;0;1;0;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0
M;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1
N;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1
O;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1
P;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
Q;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0
R;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1
S;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1
T;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;1;1;1
U;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0
V;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0
W;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1
X;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1
Z;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1
AA;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;0
AB;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
AC;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1
AD;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1
AE;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1
AF;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0
AG;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0
AH;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0
